CPU Frequency,# of enabled cores,GPU Frequency,EMC Frequency,Batch Size,Mem Growth,Mem Fraction,Runtime,Model Cons,GPU Cons,CPU Cons
204000.0,0.0,998400000.0,1600000000.0,1.0,0.0,0.25,56.4648060799,5218.13274336,1852.48672566,232.044247788
1020000.0,3.0,844800000.0,1331200000.0,8.0,0.0,0.3,17.7508189678,6691.25714286,2956.97142857,478.114285714
510000.0,0.0,537600000.0,1065600000.0,8.0,1.0,0.2,23.9542181492,4781.875,1462.27083333,345.5
1632000.0,3.0,460800000.0,1065600000.0,8.0,1.0,0.25,18.8324949741,5902.97368421,1775.36842105,907.263157895
714000.0,3.0,768000000.0,1600000000.0,8.0,0.0,0.3,19.3440959454,6932.41025641,3163.87179487,393.58974359
1428000.0,3.0,307200000.0,1065600000.0,16.0,0.0,0.3,23.7102589607,5244.61702128,1422.38297872,748.234042553
204000.0,0.0,230400000.0,800000000.0,16.0,1.0,0.15,46.3109428883,3468.29347826,658.010869565,231.673913043
1122000.0,2.0,153600000.0,1065600000.0,8.0,0.0,0.3,37.5688979626,4323.57333333,975.826666667,497.573333333
306000.0,1.0,537600000.0,1065600000.0,16.0,0.0,0.15,27.1778771877,4934.85185185,1947.74074074,262.703703704
204000.0,3.0,76800000.0,1600000000.0,8.0,1.0,0.2,96.4912879467,3557.5388601,455.398963731,153.0
204000.0,2.0,844800000.0,1331200000.0,32.0,0.0,0.3,40.3407700062,4807.30864198,1741.72839506,203.382716049
714000.0,3.0,307200000.0,1331200000.0,32.0,1.0,0.2,25.9744398594,4835.92307692,1298.92307692,392.557692308
714000.0,3.0,537600000.0,1600000000.0,32.0,1.0,0.15,16.43699193,6797.21212121,3063.06060606,409.333333333
510000.0,1.0,998400000.0,1065600000.0,8.0,0.0,0.15,20.1924860477,6167.0,2919.12195122,383.56097561
1326000.0,3.0,691200000.0,800000000.0,1.0,1.0,0.25,29.2358310223,5988.05172414,2218.46551724,580.931034483
1734000.0,1.0,460800000.0,1331200000.0,16.0,1.0,0.3,16.7500581741,6536.02941176,1922.64705882,1158.61764706
612000.0,3.0,998400000.0,1331200000.0,1.0,1.0,0.2,28.6448059082,6922.89473684,3279.66666667,317.543859649
204000.0,0.0,691200000.0,800000000.0,8.0,1.0,0.25,39.8800320625,4016.775,1157.6125,241.55
1122000.0,3.0,844800000.0,1065600000.0,16.0,0.0,0.2,16.2777540684,7415.8125,3767.125,515.5625
612000.0,1.0,998400000.0,1065600000.0,16.0,0.0,0.2,19.1861829758,6522.05128205,3113.05128205,373.692307692
102000.0,1.0,998400000.0,1331200000.0,8.0,0.0,0.2,68.8203821182,3870.35507246,1033.77536232,155.231884058
714000.0,2.0,768000000.0,800000000.0,16.0,1.0,0.2,20.847069025,5485.0,2133.6097561,413.804878049
306000.0,2.0,537600000.0,800000000.0,32.0,0.0,0.25,33.6046288013,4076.71641791,1108.25373134,231.149253731
612000.0,3.0,614400000.0,1600000000.0,16.0,0.0,0.2,20.5524511337,5430.85365854,1687.65853659,336.975609756
918000.0,0.0,76800000.0,1065600000.0,16.0,0.0,0.2,61.9407579899,3766.77419355,640.620967742,448.35483871
1020000.0,2.0,921600000.0,1331200000.0,1.0,1.0,0.2,25.3391819,7362.46,3365.16,507.92
816000.0,3.0,614400000.0,1600000000.0,1.0,0.0,0.2,27.4103121758,6110.30909091,1962.76363636,393.745454545
1122000.0,0.0,307200000.0,1331200000.0,16.0,0.0,0.25,21.2555551529,5440.11627907,1570.0,584.0
1632000.0,3.0,921600000.0,1065600000.0,1.0,1.0,0.25,23.0285451412,8343.91304348,4116.56521739,862.47826087
612000.0,3.0,921600000.0,1065600000.0,8.0,0.0,0.25,21.7046790123,5967.60465116,2736.69767442,323.0
204000.0,2.0,614400000.0,1331200000.0,16.0,0.0,0.2,40.0770869255,4026.02469136,934.209876543,198.62962963
510000.0,2.0,998400000.0,1065600000.0,8.0,0.0,0.3,23.2272629738,6127.93478261,2875.26086957,331.934782609
102000.0,3.0,921600000.0,1331200000.0,32.0,0.0,0.3,111.052220106,3441.5990991,690.59009009,88.4864864865
1734000.0,2.0,230400000.0,800000000.0,8.0,1.0,0.15,24.0349600315,5149.77083333,1259.0,918.520833333
918000.0,2.0,691200000.0,1331200000.0,8.0,0.0,0.2,15.6869130135,7785.61290323,3980.38709677,512.419354839
1122000.0,2.0,230400000.0,1065600000.0,8.0,0.0,0.2,27.5373780727,4708.23214286,1246.94642857,521.142857143
1224000.0,0.0,768000000.0,800000000.0,8.0,0.0,0.25,17.9452290535,6423.0,2735.11111111,597.111111111
510000.0,2.0,921600000.0,1065600000.0,16.0,1.0,0.25,21.5357210636,6159.76744186,2920.81395349,321.093023256
1326000.0,1.0,230400000.0,1600000000.0,16.0,1.0,0.2,23.7356450558,5511.76595745,1394.70212766,689.340425532
1224000.0,2.0,921600000.0,1600000000.0,8.0,0.0,0.25,13.8035640717,8634.5,4320.21428571,693.357142857
