CPU Frequency,# of enabled cores,GPU Frequency,EMC Frequency,Batch Size,Mem Growth,Mem Fraction,Runtime,Model Cons,GPU Cons,CPU Cons
918000,2,537600000,1065600000,16,1,0.33,18.43463516,6788.972973,3182.432432,506.1351351
1020000,2,614400000,1331200000,16,0,0.15,14.62315106,7013.068966,3241.62069,508.2758621
612000,1,307200000,800000000,32,0,0.3,29.15205908,4592.915254,1304.067797,372.2372881
1428000,3,768000000,1331200000,8,1,0.2,14.17727709,8474.535714,4325.392857,756.4285714
204000,0,230400000,1600000000,8,0,0.25,48.11668205,4026.302083,740.2916667,232.40625
1632000,3,844800000,800000000,16,1,0.25,17.24176097,7044.914286,3010,960.7142857
1224000,0,691200000,1331200000,1,1,0.2,23.75970387,6773.659574,2490.212766,641.7234043
102000,3,768000000,1331200000,8,1,0.2,97.44446111,3367.953846,595.1435897,92.18974359
714000,3,460800000,1065600000,32,0,0.3,24.33487296,4865.959184,1488.897959,397.9387755
1122000,2,76800000,1331200000,1,1,0.15,102.0184939,3832.235294,580.995098,352.6176471
1734000,1,384000000,1065600000,32,0,0.3,15.06484604,8594.580645,4030.741935,1223
816000,1,998400000,1065600000,32,1,0.33,19.65952301,7252.897436,3620.461538,507.6410256
408000,1,921600000,1600000000,16,0,0.25,23.71115589,5947.234043,2350.829787,321.4893617
1555000,3,153600000,800000000,16,1,0.2,34.14158392,4652.132353,1016.352941,837.1323529
306000,3,307200000,1600000000,16,0,0.25,31.03138494,5189.935484,1877.870968,222.5322581
714000,1,76800000,1600000000,16,1,0.2,62.98830795,4093.5,648.8809524,375.4365079
306000,1,307200000,1065600000,16,0,0.2,34.89971089,3990.671429,961.0428571,253.1
1224000,2,921600000,1600000000,16,1,0.2,13.06963897,8689.653846,4377.769231,657.9230769
816000,1,844800000,1065600000,8,0,0.2,18.07783318,6473.138889,2914.25,499.0277778
408000,3,691200000,1331200000,32,1,0.25,27.30847287,4949.381818,1679.309091,227.2
408000,3,460800000,800000000,32,0,0.2,31.39599586,4149.31746,1120.539683,221.4444444
1734000,0,230400000,1065600000,8,1,0.33,26.45117903,5392.962264,1292.056604,1005.679245
1632000,2,614400000,800000000,1,1,0.2,29.7049861,7376.083333,3433.383333,823.8166667
1555000,3,537600000,1331200000,16,0,0.2,15.83113408,6346.75,1946.96875,854.15625
510000,2,998400000,1331200000,16,0,0.2,19.71428204,6588.153846,3130.846154,312.7435897
102000,1,307200000,800000000,32,1,0.25,76.26518679,3137.320261,514.3202614,157.5294118
1224000,3,921600000,1065600000,32,0,0.15,14.78379297,7723.931034,4055.206897,587.3793103
1555000,3,768000000,1331200000,16,0,0.25,14.57452011,7171.333333,2828.233333,893.0333333
102000,3,307200000,1065600000,32,1,0.15,104.210207,2872.870192,339.75,82.66346154
1020000,3,307200000,1065600000,32,1,0.25,24.61297798,4902.38,1428.88,486.78
204000,0,844800000,1600000000,1,0,0.15,54.60296702,4790.614679,1434.302752,227.8807339
204000,3,230400000,1065600000,32,1,0.3,60.32654405,3421.991667,658.2916667,153
1734000,1,153600000,1065600000,16,1,0.2,33.01995301,4951.969697,1057.333333,1019.469697
1428000,0,691200000,1331200000,16,0,0.25,13.44692206,8519.592593,4167.111111,929.4074074
1555000,3,460800000,1065600000,16,0,0.25,18.38730288,5838.972973,1758.837838,867.5675676
1224000,3,460800000,1331200000,16,1,0.33,19.29645395,5589.051282,1665.025641,600.6923077
204000,2,153600000,800000000,32,0,0.3,63.76809406,3368.062992,631.7795276,177.2519685
918000,3,691200000,1331200000,16,0,0.2,16.23361897,7378.333333,3642.969697,455.7575758
1326000,2,998400000,1065600000,1,0,0.15,25.50018597,7541.666667,3688.960784,630.5098039
1020000,3,307200000,1065600000,32,1,0.2,23.53380203,4981.574468,1467.425532,498.2553191
