CPU Frequency,# of enabled cores,GPU Frequency,EMC Frequency,Batch Size,Mem Growth,Mem Fraction,Runtime,Model Cons,GPU Cons,CPU Cons
816000,1,460800000,1065600000,8,1,0.33,32.26033902,6043.2,2465,404.8769231
1020000,2,614400000,1065600000,8,0,0.25,19.43513107,11011.66667,7673.512821,440.2307692
510000,1,307200000,800000000,8,0,0.3,42.18306279,5013.619048,1762.761905,301.4880952
1555000,3,921600000,1600000000,8,1,0.25,16.47467518,12204.18182,7787.121212,770.8787879
306000,0,153600000,1600000000,8,0,0.25,67.61282706,4639.140741,1157.718519,248.2518519
1734000,3,998400000,800000000,8,1,0.25,21.17355204,11211.09524,7210.880952,1003.880952
1326000,0,691200000,1331200000,1,1,0.25,24.04623008,7980.916667,3740.4375,455.3958333
102000,3,768000000,1331200000,8,1,0.25,57.7094841,5168.646552,2239.827586,125.7844828
612000,3,384000000,1065600000,8,0,0.3,35.31954694,5512.507042,2035.253521,304.8309859
1224000,2,76800000,1331200000,1,0,0.25,105.9083769,4219.113208,717.9245283,385.3160377
1326000,1,768000000,1331200000,8,1,0.25,17.31067801,11667.23529,7648.264706,633.4705882
612000,3,768000000,1065600000,8,0,0.3,25.21556783,7638.294118,4276.411765,299.2352941
816000,0,844800000,800000000,8,1,0.25,22.62550092,9976.911111,6636.355556,442.7777778
816000,2,691200000,1331200000,8,0,0.25,22.15588403,7927.045455,4081.795455,415.0909091
1122000,1,691200000,1065600000,8,1,0.3,23.51806402,7861.340426,4192.085106,509.2553191
918000,1,691200000,1600000000,8,0,0.3,21.31778884,8450.02381,4153.214286,491.2619048
1555000,3,921600000,1065600000,8,1,0.25,19.04909515,11885.07895,8056.526316,804.6315789
816000,1,844800000,1331200000,8,0,0.3,20.57560015,9285.463415,5399.658537,450.6341463
408000,2,307200000,800000000,1,0,0.3,47.38066387,5008.884211,1474.810526,258.3684211
714000,0,921600000,1600000000,8,0,0.3,18.49016595,11577.64865,7528.513514,447.3513514
1122000,1,691200000,1331200000,8,1,0.25,21.09188795,8521.452381,4633.880952,507.7142857
918000,3,460800000,1331200000,8,1,0.3,28.56638598,6366,2511.929825,428.1929825
1020000,3,460800000,1065600000,8,0,0.25,28.83565497,6270.810345,2667.37931,454
1632000,1,691200000,1065600000,8,0,0.3,19.25438309,11903.23684,8040.552632,889.6578947
714000,1,921600000,1600000000,8,0,0.25,18.46482801,10569.02703,6543.486486,457.7837838
1326000,3,921600000,1065600000,8,1,0.25,19.97153211,10617.725,6978.8,621.075
1122000,2,844800000,1331200000,8,0,0.25,19.12366199,9653.263158,5726.789474,492.3157895
1326000,3,537600000,1065600000,8,0,0.25,25.88702703,6866.372549,2995.117647,617.1372549
1122000,0,614400000,1600000000,8,0,0.25,16.75823188,12093.12121,7931.909091,566.7575758
1224000,3,998400000,1600000000,8,0,0.25,17.02415705,12045.61765,7913.382353,574.8529412
816000,1,768000000,1065600000,8,0,0.25,22.31027508,8355.818182,4768.181818,448.1136364
816000,3,921600000,1065600000,8,0,0.25,20.87343287,10288.47619,6883.238095,403.2857143
1326000,3,998400000,1331200000,8,0,0.25,17.91410303,11846.82857,7775.742857,635.1714286
816000,3,460800000,1331200000,8,0,0.25,27.96083593,6443.821429,2540.214286,427.6071429
1122000,3,537600000,1331200000,8,1,0.25,18.30375695,11577.38889,7786.861111,502.3611111
714000,3,460800000,1065600000,8,0,0.25,30.18733692,6051.033333,2501.883333,365.7166667
612000,1,537600000,1331200000,8,0,0.3,20.35743713,10402.925,6684.15,373.6
1224000,3,614400000,1600000000,8,1,0.25,17.02931213,11982.35294,7882.911765,570.3823529
1020000,2,921600000,1331200000,8,1,0.3,18.73603678,11280.86486,7439.135135,501.2702703
1555000,3,768000000,1331200000,8,0,0.33,22.60673094,9294.2,5002.111111,867.8222222
