CPU Frequency,# of enabled cores,GPU Frequency,EMC Frequency,Batch Size,Mem Growth,Mem Fraction,Runtime,Model Cons,GPU Cons,CPU Cons
306000.0,2.0,921600000.0,800000000.0,8.0,0.0,0.25,28.9866840839,7883.4137931,4832.56896552,247.224137931
306000.0,3.0,460800000.0,1065600000.0,8.0,0.0,0.33,40.780036211,5267.15853659,2022.98780488,204.646341463
306000.0,2.0,844800000.0,1065600000.0,8.0,1.0,0.25,27.2969129086,7333.27272727,4142.16363636,243.981818182
1224000.0,3.0,153600000.0,1065600000.0,8.0,1.0,0.25,63.142868042,4652.2519685,1240.22047244,530.244094488
408000.0,2.0,460800000.0,1600000000.0,8.0,1.0,0.25,20.8827471733,10032.2142857,6295.02380952,289.976190476
306000.0,1.0,844800000.0,1331200000.0,8.0,1.0,0.25,25.6781949997,7698.38461538,4224.19230769,271.25
1224000.0,3.0,537600000.0,1600000000.0,8.0,1.0,0.33,26.2483589649,7322.18867925,2909.13207547,589.452830189
1428000.0,1.0,614400000.0,1065600000.0,8.0,0.0,0.25,18.8384020329,11684.5526316,7964.44736842,703.921052632
1326000.0,3.0,384000000.0,1065600000.0,8.0,0.0,0.3,32.4853827953,6124.41538462,2299.92307692,619.015384615
918000.0,1.0,230400000.0,1331200000.0,8.0,0.0,0.33,49.5590322018,5335.03030303,1651.60606061,460.505050505
1122000.0,3.0,384000000.0,1065600000.0,8.0,1.0,0.25,19.8552298546,10845.225,7285.45,471.4
714000.0,2.0,844800000.0,1331200000.0,8.0,1.0,0.25,19.1792948246,10614.8974359,6935.82051282,401.0
714000.0,0.0,614400000.0,1331200000.0,8.0,1.0,0.25,23.4756250381,7400.40425532,3490.76595745,418.042553191
918000.0,1.0,614400000.0,1600000000.0,8.0,0.0,0.25,21.7824380398,7940.04545455,3750.86363636,453.522727273
714000.0,0.0,384000000.0,1331200000.0,8.0,0.0,0.25,30.5249688625,6121.83606557,2318.59016393,435.393442623
612000.0,0.0,844800000.0,1331200000.0,8.0,1.0,0.25,19.8306758404,10441.925,6833.075,371.7
1555000.0,3.0,768000000.0,1065600000.0,8.0,0.0,0.25,21.4339220524,8761.95348837,4646.88372093,819.046511628
612000.0,2.0,307200000.0,1331200000.0,8.0,1.0,0.25,36.1911780834,5612.47945205,1951.21917808,334.397260274
1428000.0,1.0,230400000.0,1331200000.0,8.0,1.0,0.25,42.9807538986,5673.91860465,1723.43023256,697.302325581
1020000.0,2.0,921600000.0,1331200000.0,8.0,0.0,0.25,18.1048679352,11411.9722222,7591.25,523.805555556
1020000.0,0.0,691200000.0,1065600000.0,8.0,0.0,0.25,22.584487915,7901.84444444,4162.13333333,520.022222222
714000.0,3.0,76800000.0,1331200000.0,8.0,0.0,0.25,122.178802013,4050.44489796,767.742857143,346.285714286
1122000.0,0.0,844800000.0,1331200000.0,8.0,1.0,0.25,17.983438015,11480.9444444,7659.72222222,547.138888889
1020000.0,2.0,307200000.0,1331200000.0,8.0,1.0,0.25,34.9077320099,5903.15714286,2065.57142857,505.628571429
1734000.0,0.0,768000000.0,1331200000.0,8.0,1.0,0.25,16.8961908817,12320.1764706,7967.17647059,991.882352941
918000.0,3.0,921600000.0,1331200000.0,8.0,1.0,0.25,18.9503490925,10929.1315789,7196.42105263,439.605263158
714000.0,3.0,921600000.0,1331200000.0,8.0,1.0,0.25,20.4475600719,9672.04878049,5988.65853659,381.414634146
714000.0,2.0,614400000.0,1600000000.0,8.0,1.0,0.25,22.5329408646,7554.37777778,3379.75555556,393.933333333
306000.0,3.0,768000000.0,1065600000.0,8.0,0.0,0.25,28.107776165,8418.10714286,5390.42857143,209.232142857
1555000.0,2.0,614400000.0,1065600000.0,8.0,0.0,0.25,23.5024330616,7763.87234043,3675.21276596,832.893617021
714000.0,2.0,691200000.0,1331200000.0,8.0,0.0,0.3,19.9888129234,10739.625,7001.625,400.45
1224000.0,1.0,230400000.0,800000000.0,8.0,0.0,0.33,51.8776760101,5127.74757282,1627.74757282,553.922330097
1122000.0,3.0,384000000.0,1065600000.0,8.0,0.0,0.25,19.8793649673,10813.425,7227.95,482.925
816000.0,3.0,614400000.0,800000000.0,8.0,0.0,0.25,23.0606749058,9763.86956522,6477.08695652,414.782608696
1428000.0,1.0,537600000.0,1331200000.0,8.0,0.0,0.25,23.7727379799,7396.04166667,3143.45833333,719.583333333
1632000.0,0.0,460800000.0,1065600000.0,8.0,0.0,0.25,27.2243490219,6926.85185185,2843.37037037,858.703703704
918000.0,0.0,153600000.0,1331200000.0,8.0,1.0,0.33,70.4520039558,4822.51428571,1253.95,477.542857143
408000.0,2.0,768000000.0,1065600000.0,8.0,1.0,0.3,24.5164458752,9666.16326531,6477.63265306,300.163265306
1555000.0,2.0,844800000.0,1331200000.0,8.0,0.0,0.3,18.0491409302,11936.3333333,7676.19444444,849.555555556
510000.0,3.0,230400000.0,1331200000.0,8.0,1.0,0.3,49.3576080799,5020.25252525,1577.93939394,271.222222222
